date,fips,cases,deaths
2020-01-24,17,1,0
2020-01-25,17,1,0
2020-01-26,17,1,0
2020-01-27,17,1,0
2020-01-28,17,1,0
2020-01-29,17,1,0
2020-01-30,17,2,0
2020-01-31,17,2,0
2020-02-01,17,2,0
2020-02-02,17,2,0
2020-02-03,17,2,0
2020-02-04,17,2,0
2020-02-05,17,2,0
2020-02-06,17,2,0
2020-02-07,17,2,0
2020-02-08,17,2,0
2020-02-09,17,2,0
2020-02-10,17,2,0
2020-02-11,17,2,0
2020-02-12,17,2,0
2020-02-13,17,2,0
2020-02-14,17,2,0
2020-02-15,17,2,0
2020-02-16,17,2,0
2020-02-17,17,2,0
2020-02-18,17,2,0
2020-02-19,17,2,0
2020-02-20,17,2,0
2020-02-21,17,2,0
2020-02-22,17,2,0
2020-02-23,17,2,0
2020-02-24,17,2,0
2020-02-25,17,2,0
2020-02-26,17,2,0
2020-02-27,17,2,0
2020-02-28,17,2,0
2020-02-29,17,3,0
2020-03-01,17,3,0
2020-03-02,17,4,0
2020-03-03,17,4,0
2020-03-04,17,4,0
2020-03-05,17,5,0
2020-03-06,17,6,0
2020-03-07,17,6,0
2020-03-08,17,7,0
2020-03-09,17,11,0
2020-03-10,17,19,0
2020-03-11,17,25,0
2020-03-12,17,32,0
2020-03-13,17,46,0
2020-03-14,17,66,0
2020-03-15,17,94,0
2020-03-16,17,104,0
2020-03-17,17,159,1
2020-03-18,17,286,1
2020-03-19,17,420,4
2020-03-20,17,583,5
2020-03-21,17,751,6
2020-03-22,17,1047,9
2020-03-23,17,1285,12
2020-03-24,17,1535,16
2020-03-25,17,1875,21
2020-03-26,17,2538,26
2020-03-27,17,3029,37
2020-03-28,17,3547,50
2020-03-29,17,4613,70
2020-03-30,17,5070,84
