date,fips,cases,deaths
2020-02-12,48,1,0
2020-02-13,48,2,0
2020-02-14,48,2,0
2020-02-15,48,2,0
2020-02-16,48,2,0
2020-02-17,48,2,0
2020-02-18,48,2,0
2020-02-19,48,2,0
2020-02-20,48,2,0
2020-02-21,48,4,0
2020-02-22,48,4,0
2020-02-23,48,4,0
2020-02-24,48,10,0
2020-02-25,48,10,0
2020-02-26,48,10,0
2020-02-27,48,10,0
2020-02-28,48,11,0
2020-02-29,48,11,0
2020-03-01,48,11,0
2020-03-02,48,11,0
2020-03-03,48,11,0
2020-03-04,48,12,0
2020-03-05,48,16,0
2020-03-06,48,19,0
2020-03-07,48,19,0
2020-03-08,48,23,0
2020-03-09,48,24,0
2020-03-10,48,31,0
2020-03-11,48,33,0
2020-03-12,48,41,0
2020-03-13,48,58,0
2020-03-14,48,69,0
2020-03-15,48,80,0
2020-03-16,48,87,1
2020-03-17,48,106,1
2020-03-18,48,166,2
2020-03-19,48,248,4
2020-03-20,48,377,5
2020-03-21,48,547,5
2020-03-22,48,632,7
2020-03-23,48,728,7
2020-03-24,48,857,11
2020-03-25,48,1119,12
2020-03-26,48,1543,21
2020-03-27,48,1942,23
2020-03-28,48,2161,29
2020-03-29,48,2712,35
2020-03-30,48,3043,46
