date,fips,cases,deaths
2020-03-07,51,1,0
2020-03-08,51,2,0
2020-03-09,51,5,0
2020-03-10,51,8,0
2020-03-11,51,10,0
2020-03-12,51,17,0
2020-03-13,51,30,0
2020-03-14,51,42,1
2020-03-15,51,45,1
2020-03-16,51,51,1
2020-03-17,51,67,2
2020-03-17,54,1,0
2020-03-18,51,78,2
2020-03-18,54,2,0
2020-03-19,51,94,2
2020-03-19,54,5,0
2020-03-20,51,115,2
2020-03-20,54,8,0
2020-03-21,51,152,3
2020-03-21,54,12,0
2020-03-22,51,219,6
2020-03-22,54,16,0
2020-03-23,51,254,6
2020-03-23,54,16,0
2020-03-24,51,290,7
2020-03-24,54,39,0
2020-03-25,51,391,9
2020-03-25,54,51,0
2020-03-26,51,604,14
2020-03-26,54,76,0
2020-03-27,51,606,14
2020-03-27,54,96,0
2020-03-28,51,740,17
2020-03-28,54,113,0
2020-03-29,51,890,22
2020-03-29,54,124,1
2020-03-30,51,1021,26
2020-03-30,54,145,1
