date,cases,deaths
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,1,0
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,1,0
2020-02-11,1,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,1,0
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,1,0
2020-02-28,1,0
2020-02-29,1,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,2,0
2020-03-04,2,0
2020-03-05,2,0
2020-03-06,3,0
2020-03-07,5,0
2020-03-08,5,0
2020-03-09,6,0
2020-03-10,6,0
2020-03-11,9,0
2020-03-12,9,0
2020-03-13,9,0
2020-03-14,12,0
2020-03-15,13,0
2020-03-16,18,0
2020-03-17,20,0
2020-03-18,28,0
2020-03-19,47,0
2020-03-20,70,1
2020-03-21,104,1
2020-03-22,153,2
2020-03-23,234,2
2020-03-24,326,6
2020-03-25,402,6
2020-03-26,508,8
2020-03-27,665,15
2020-03-28,773,15
2020-03-29,929,18
2020-03-30,1169,20
