date,cases,deaths
2020-01-21,1,0
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,1,0
2020-02-05,1,0
2020-02-06,1,0
2020-02-07,1,0
2020-02-08,1,0
2020-02-09,1,0
2020-02-10,1,0
2020-02-11,1,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,1,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-21,1,0
2020-02-22,1,0
2020-02-23,1,0
2020-02-24,5,0
2020-02-25,5,0
2020-02-26,5,0
2020-02-27,5,0
2020-02-28,7,0
2020-02-29,10,1
2020-03-01,17,3
2020-03-02,23,6
2020-03-03,32,10
2020-03-04,47,11
2020-03-05,75,11
2020-03-06,86,12
2020-03-07,110,16
2020-03-08,141,19
2020-03-09,179,22
2020-03-10,279,24
2020-03-11,338,29
2020-03-12,419,32
2020-03-13,511,37
2020-03-14,609,40
2020-03-15,675,42
2020-03-16,794,48
2020-03-17,908,54
2020-03-18,1026,68
2020-03-19,1228,75
2020-03-20,1404,83
2020-03-21,1655,95
2020-03-22,1844,97
2020-03-23,2101,110
2020-03-24,2469,123
2020-03-25,2585,130
2020-03-26,3208,151
2020-03-27,3770,177
2020-03-28,4311,191
2020-03-29,4896,207
2020-03-30,5179,221
